raw,binomial,common,group,family,domestic
common_porchard,Aythya ferina,common pochard,Anseriformes,,
common_quail,Aythya ferina,common pochard,Galliformes,,
Common_raven,Corvus corax,common raven,Passeriformes,,
common_snipe,Gallinago gallinago,common snipe,Charadriiformes,,
common_teal,Anas crecca,common teal,Anseriformes,,
Common_Teal,Anas crecca,common teal,Anseriformes,,
Common_tern,Sterna hirundo,common tern,Charadriiformes,,
Common_Tern,Sterna hirundo,common tern,Charadriiformes,,
common_tern,Sterna hirundo,common tern,Charadriiformes,,
common_tern_,Sterna hirundo,common tern,Charadriiformes,,
Common-coot,Fulica atra,Eurasian coot,Gruiformes,,
cooper's_hawk,Accipiter cooperii,Cooper's hawk,Accipitriformes,,
Cooper's_hawk,Accipiter cooperii,Cooper's hawk,Accipitriformes,,
coot,Fulica sp.,coot,Gruiformes,,
Coot,Fulica sp.,coot,Gruiformes,,
Copsychus_saularis,Copsychus saularis,oriental magpie-robin,Passeriformes,,
cormorant,,cormorant,Suliformes,Phalacrocoracidae,
Cormorant,,cormorant,Suliformes,Phalacrocoracidae,
Corvus_monedula,Corvus monedula,jackdaw,Passeriformes,,
crane,,crane,Gruiformes,Gruidae,
crow,Corvus sp.,crow,Passeriformes,,
Crow,Corvus sp.,crow,Passeriformes,,
curlew,Numenius sp.,curlew,Charadriiformes,,
Cygnus_atratus,Cygnus atratus,black swan,Anseriformes,,
Cygnus_columbianus,Cygnus columbianus,tundra swan,Anseriformes,,
Cygnus_olor,Cygnus olor,mute swan,Anseriformes,,
Cygnus_Olor,Cygnus olor,mute swan,Anseriformes,,
Dalmatian_pelican,Pelecanus crispus,dalmatian pelican,Pelecaniformes,,
dalmatian_pelican,Pelecanus crispus,dalmatian pelican,Pelecaniformes,,
decoy_duck,,,,,
Dk,,duck,Anseriformes,,
dolphin,,dolphin,Cetartiodactyla,,
domestic_bird,,bird,bird,,y
domestic_chicken,Gallus gallus domesticus,domestic chicken,Galliformes,,y
Domestic_Duck,Anas platyrhynchos domesticus,domestic duck,Anseriformes,,y
domestic_duck,Anas platyrhynchos domesticus,domestic duck,Anseriformes,,y
Domestic_goose,Anser anser domesticus,domestic goose,Anseriformes,,y
domestic_goose,Anser anser domesticus,domestic goose,Anseriformes,,y
domestic_mallard,Anas platyrhynchos domesticus,domestic duck,Anseriformes,,y
domestic_turkey,Meleagris gallopavo domesticus,domestic turkey,Galliformes,,y
double-crested_cormorant,Nannopterum auritum,double-crested cormorant,Suliformes,,
Dove,,dove,Columbiformes,Columbidae,
dove,,dove,Columbiformes,Columbidae,
Duck,,duck,Anseriformes,Anatidae,
duck,,duck,Anseriformes,Anatidae,
duck_,,duck,Anseriformes,Anatidae,
Ducks,,duck,Anseriformes,Anatidae,
eagle,,eagle,Accipitriformes,Accipitridae,
Eagle_owl,Bubo sp.,eagle-owl,Strigiformes,,
eagle_owl,Bubo sp.,eagle-owl,Strigiformes,,
eared_grebe,Podiceps nigricollis,black-necked grebe,Podicipediformes,,
eastern_buzzard,Buteo japonicus,eastern buzzard,Accipitriformes,,
egret,,egret,Pelecaniformes,Ardeidae,
Egretta_garzetta,Egretta garzetta,little egret,Pelecaniformes,,
Egyptian_goose,Alopochen aegyptiaca,Egyptian goose,Anseriformes,,
egyptian_goose,Alopochen aegyptiaca,Egyptian goose,Anseriformes,,
Embden_goose,Anser anser domesticus,domestic goose,Anseriformes,,y
emperor_goose,Anser canagicus,emperor goose,Anseriformes,,
emu,Dromaius novaehollandiae,emu,Casuariiformes,,
environment,,,,,
Eur_Wig,Mareca penelope,Eurasian wigeon,Anseriformes,,
Eurasian_coot,Fulica atra,Eurasian coot,Gruiformes,,
eurasian_curlew,Numenius arquata,Eurasian curlew,Charadriiformes,,
Eurasian_Curlew,Numenius arquata,Eurasian curlew,Charadriiformes,,
Eurasian_curlew,Numenius arquata,Eurasian curlew,Charadriiformes,,
Eurasian_eagle_owl,Bubo bubo,Eurasian eagle-owl,Strigiformes,,
eurasian_eagle-owl,Bubo bubo,Eurasian eagle-owl,Strigiformes,,
Eurasian_eagle-owl,Bubo bubo,Eurasian eagle-owl,Strigiformes,,
Eurasian_Herring_Gull,Larus argentatus,European herring gull,Casuariiformes,,
Eurasian_oystercatcher,Haematopus ostralegus,Eurasian oystercatcher,Charadriiformes,,
eurasian_oystercatcher,Haematopus ostralegus,Eurasian oystercatcher,Charadriiformes,,
Eurasian_Spoonbill,Platalea leucorodia,Eurasian spoonbill,Pelecaniformes,,
Eurasian_teal,Anas crecca,Eurasian teal,Anseriformes,,
eurasian_teal,Anas crecca,Eurasian teal,Anseriformes,,
Eurasian_wigeon,Mareca penelope,Eurasian wigeon,Anseriformes,,
Eurasian_Wigeon,Mareca penelope,Eurasian wigeon,Anseriformes,,
eurasian_wigeon,Mareca penelope,Eurasian wigeon,Anseriformes,,
European_Herring_Gull,Larus argentatus,European herring gull,Charadriiformes,,
european_herring_gull,Larus argentatus,European herring gull,Charadriiformes,,
European_herring_gull,Larus argentatus,European herring gull,Charadriiformes,,
European_polecat,Mustela putorius,European polecat,Carnivora,,
Ezo_red_fox,Vulpes vulpes schrencki,Ezo red fox,Carnivora,,
falcata_teal,Mareca falcata,falcated duck,Anseriformes,,
Falcated_Duck,Mareca falcata,falcated duck,Anseriformes,,
falcated_duck,Mareca falcata,falcated duck,Anseriformes,,
Falco_peregrinus,Falco peregrinus,peregrine falcon,Falconiformes,,
falcon,Falco sp.,falcon,Falconiformes,,
Falcon,Falco sp.,falcon,Falconiformes,,
Fancy_chicken,Gallus gallus domesticus,domestic chicken,Galliformes,,y
feline,,cat,Carnivora,Felidae,
ferret,Mustela sp.,ferret,Carnivora,,
Ferruginous_duck,Aythya nyroca,ferruginous duck,Anseriformes,,
fish_eagle,Haliaeetus sp.,sea eagle,Accipitriformes,,
flamingo,,flamingo,Phoenicopteriformes,Phoenicopteridae,
fox,,fox,Carnivora,Canidae,
Fox,,fox,Carnivora,Canidae,
G_c_grebe,Podiceps cristatus,great crested grebe,Podicipediformes,,
gadwall,Mareca strepera,gadwall,Anseriformes,,
Gadwall,Mareca strepera,gadwall,Anseriformes,,
gadwall_duck,Mareca strepera,gadwall,Anseriformes,,
Gallinula_chloropus,Gallinula chloropus,common moorhen,Gruiformes,,
Gallus_gallus,Gallus gallus,domestic chicken,Galliformes,,y
Gallus_Gallus,Gallus gallus,domestic chicken,Galliformes,,y
Gannet,Morus sp.,gannet,Suliformes,,
gannet,Morus sp.,gannet,Suliformes,,
garganey,Spatula querquedula,garganey,Anseriformes,,
Garrulus_glandarius,Garrulus glandarius,Eurasian jay,Passeriformes,,
geese,,goose,Anseriformes,Anatidae,
Geese,,goose,Anseriformes,Anatidae,
giant_anteater,Myrmecophaga tridactyla,giant anteater,Pilosa,,
giant_panda,Ailuropoda melanoleuca,giant panda,Carnivora,,
glaucous-winged_gull,Larus glaucescens,glaucous-winged gull,Charadriiformes,,
Go,Anser sp.,goose,Anseriformes,,
golden_eagle,Aquila chrysaetos,golden eagle,Accipitriformes,,
Goose,,goose,Anseriformes,Anatidae,
goose,,goose,Anseriformes,Anatidae,
goshawk,Accipiter sp.,goshawk,Accipitriformes,,
Goshawk,Accipiter sp.,goshawk,Accipitriformes,,
Gr_bk_bd_gull,Larus marinus,great black-backed gull,Charadriiformes,,
gray_heron,Ardea cinerea,grey heron,Pelecaniformes,,
Graylag_goose,Anser anser,greylag goose,Anseriformes,,
graylag_goose,Anser anser,greylag goose,Anseriformes,,
Great_Black-backed_Gull,Larus marinus,great black-backed gull,Charadriiformes,,
Great_black-backed_gull,Larus marinus,great black-backed gull,Charadriiformes,,
Great_black-backed_Gull,Larus marinus,great black-backed gull,Charadriiformes,,
great_black-backed_gull,Larus marinus,great black-backed gull,Charadriiformes,,
Great_black-headed_Gull,Larus marinus,great black-backed gull,Charadriiformes,,
Great_black-headed_gull,Larus marinus,great black-backed gull,Charadriiformes,,
Great_Black-headed_Gull,Larus marinus,great black-backed gull,Charadriiformes,,
great_cormorant,Phalacrocorax carbo,great cormorant,Suliformes,,
Great_Cormorant,Phalacrocorax carbo,great cormorant,Suliformes,,
Great_cormorant,Phalacrocorax carbo,great cormorant,Suliformes,,
great_crested_grebe,Podiceps cristatus,great crested grebe,Podicipediformes,,
Great_Crested_Grebe,Podiceps cristatus,great crested grebe,Podicipediformes,,
great_egret,Ardea alba,great egret,Pelecaniformes,,
great_horned_owl,Bubo virginianus,great horned owl,Strigiformes,,
great_skua,Stercorarius skua,great skua,Charadriiformes,,
great_tit,Parus major,great tit,Passeriformes,,
Great_white_pelican,Pelecanus onocrotalus,great white pelican,Pelecaniformes,,
great-horned_owl,Bubo virginianus,great horned owl,Strigiformes,,
great-white_pelican,Pelecanus onocrotalus,great white pelican,Pelecaniformes,,
greater_canada_goose,Branta canadensis,Canada goose,Anseriformes,,
greater_canada_goose_,Branta canadensis,Canada goose,Anseriformes,,
greater_rhea,Rhea americana,greater rhea,Rheiformes,,
greater_scaup,Aythya marila,greater scaup,Anseriformes,,
greater_white-fronted_goose,Anser albifrons,greater white-fronted goose,Anseriformes,,
grebe,,grebe,Podicipediformes,,
Green_pheasant,Phasianus versicolor,green pheasant,Galliformes,,
green_sandpiper,Tringa ochropus,green sandpiper,Charadriiformes,,
green-winged_teal,Anas carolinensis,green-winged teal,Anseriformes,,
Green-winged_teal,Anas carolinensis,green-winged teal,Anseriformes,,
Green-Winged_Teal,Anas carolinensis,green-winged teal,Anseriformes,,
green-winged-teal,Anas carolinensis,green-winged teal,Anseriformes,,
Grey_Go,Anser sp.,goose,Anseriformes,,
grey_goose,Anser sp.,goose,Anseriformes,,
Grey_goose,Anser sp.,goose,Anseriformes,,
Grey_heron,Ardea cinerea,grey heron,Pelecaniformes,,
grey_heron,Ardea cinerea,grey heron,Pelecaniformes,,
grey_heron_,Ardea cinerea,grey heron,Pelecaniformes,,
grey_seal,Halichoerus grypus,grey seal,Carnivora,,
Grey_seal,Halichoerus grypus,grey seal,Carnivora,,
grey_teal,Halichoerus grypus,grey seal,Carnivora,,
Grey_Teal,Halichoerus grypus,grey seal,Carnivora,,
grey-faced_buzzard,Butastur indicus,grey-faced buzzard,Accipitriformes,,
grey-headed_gull,Chroicocephalus cirrocephalus,grey-headed gull,Charadriiformes,,
Grey-Headed_Gull,Chroicocephalus cirrocephalus,grey-headed gull,Charadriiformes,,
greylag_goose,Anser anser,greylag goose,Anseriformes,,
Greylag_goose,Anser anser,greylag goose,Anseriformes,,
Greylag_Goose,Anser anser,greylag goose,Anseriformes,,
greylag_goose_,Anser anser,greylag goose,Anseriformes,,
Guinea_fowl,,guineafowl,Galliformes,Numididae,
Guinea_Fowl,,guineafowl,Galliformes,Numididae,
guinea_fowl,,guineafowl,Galliformes,Numididae,
Guineafowl,,guineafowl,Galliformes,Numididae,
guineafowl,,guineafowl,Galliformes,Numididae,
GuineaFowl,,guineafowl,Galliformes,Numididae,
gull,,gull,Charadriiformes,Laridae,
Gull,,gull,Charadriiformes,Laridae,
Gull1,,gull,Charadriiformes,Laridae,
Gull10,,gull,Charadriiformes,Laridae,
Gypaetus_barbatus,Gypaetus barbatus,bearded vulture,Accipitriformes,,
Gyps_fulvus,Gyps fulvus,Eurasian griffon vulture,Accipitriformes,,
gyrfalcon,Falco rusticolus,gyrfalcon,Falconiformes,,
harbor_seal,Phoca vitulina,harbor seal,Carnivora,,
harbour_seal,Phoca vitulina,harbor seal,Carnivora,,
Harris_Hawk,Parabuteo unicinctus,Harris's hawk,Accipitriformes,,
Harris_hawk,Parabuteo unicinctus,Harris's hawk,Accipitriformes,,
Hawaiian_goose,Branta sandvicensis,nene,Anseriformes,,
hawk,,hawk,Accipitriformes,Accipitridae,
hen,Gallus gallus domesticus,domestic chicken,Galliformes,,y
heron,,heron,Pelecaniformes,Ardeidae,
Heron,,heron,Pelecaniformes,Ardeidae,
Herring_gull,Larus sp.,herring gull,Casuariiformes,,
herring_gull,Larus sp.,herring gull,Casuariiformes,,
Herring_Gull,Larus sp.,herring gull,Casuariiformes,,
Hoabara,Chlamydotis undulata,houbara bustard,Otidiformes,,
Holland_pigeon,,pigeon,Columbiformes,Columbidae,y
hooded_crane,Grus monacha,hooded crane,Gruiformes,,
hooded_merganser,Lophodytes cucullatus,hooded merganser,Anseriformes,,
house_sparrow,Passer domesticus,house sparrow,Passeriformes,,
ibis,,ibis,Pelecaniformes,Threskiornithidae,
Indian_peafowl,Pavo cristatus,Indian peafowl,Galliformes,,
Indian_Runner_duck,Anas platyrhynchos domesticus,domestic duck,Anseriformes,,y
Indian_Runner_Duck,Anas platyrhynchos domesticus,domestic duck,Anseriformes,,y
Jungle_crow,Corvus sp.,jungle crow,Passeriformes,,
jungle_crow,Corvus sp.,jungle crow,Passeriformes,,
kelp_gull,Larus dominicanus,kelp gull,Charadriiformes,,
Kestrel,Falco sp.,kestrel,Falconiformes,,
kestrel,Falco sp.,kestrel,Falconiformes,,
knot_wader,Calidris canutus,red knot,Charadriiformes,,
Korean_native_chicken,Gallus gallus domesticus,domestic chicken,Galliformes,,y
korean_native_chicken,Gallus gallus domesticus,domestic chicken,Galliformes,,y
L-bl-ba-gull,Larus fuscus,lesser black-backed gull,Charadriiformes,,
Lady_Amherst's_pheasant,Chrysolophus amherstiae,Lady Amherst's pheasant,Galliformes,,
Lapwing,,lapwing,Charadriiformes,Charadriidae,
large-billed_crow,Corvus macrorhynchos,large-billed crow,Passeriformes,,
Laridae,,seabird,Charadriiformes,Laridae,
Larus_argentatus,Larus argentatus,European herring gull,Charadriiformes,,
Larus_canus,Larus canus,common gull,Charadriiformes,,
Larus_ridibundus,Chroicocephalus ridibundus,black-headed gull,Charadriiformes,,
laughing_gull,Leucophaeus atricilla,laughing gull,Charadriiformes,,
layer,Gallus gallus domesticus,domestic chicken,Galliformes,,y
layer_chicken,Gallus gallus domesticus,domestic chicken,Galliformes,,y
laying_hen,Gallus gallus domesticus,domestic chicken,Galliformes,,y
least_sandpiper,Calidris minutilla,least sandpiper,Charadriiformes,,
Lesser_Black-backed_Gull,Larus fuscus,lesser black-backed gull,Charadriiformes,,
lesser_black-backed_gull,Larus fuscus,lesser black-backed gull,Charadriiformes,,
Lesser_scaup,Aythya affinis,lesser scaup,Anseriformes,,
lesser_scaup,Aythya affinis,lesser scaup,Anseriformes,,
lesser_snow_goose,Anser caerulescens,snow goose,Anseriformes,,
lesser_white-fronted_goose,Anser erythropus,lesser white-fronted goose,Anseriformes,,
lion,Panthera leo,lion,Carnivora,,
Little_egret,Egretta garzetta,little egret,Pelecaniformes,,
little_grebe,Tachybaptus ruficollis,little grebe,Podicipediformes,,
